Survey,Age,EDHIW Single Person,EDHIW Head or Spouse (n>1),EDHIW Children,EDHIW Other,EDHIW
DE00,Under 15 years,0,0,22986,23690,22986
DE00,15 to 19 years,0,0,25802,0,25416
DE00,20 to 24 years,12565,19747,30012,21208,25015
DE00,25 to 29 years,20237,22629,31242,0,23621
DE00,30 to 34 years,24015,25059,31673,0,25295
DE00,35 to 39 years,27650,25716,29637,0,26031
DE00,40 to 44 years,25628,28090,26767,0,27997
DE00,45 to 49 years,26403,30194,0,0,29934
DE00,50 to 54 years,25011,31983,0,0,31252
DE00,55 to 59 years,23674,31265,0,0,29613
DE00,60 to 64 years,20287,27352,0,0,26120
DE00,65 to 69 years,20177,24447,0,0,23457
DE00,70 to 74 years,18654,23449,0,0,22137
DE00,75 to 79 years,18052,23804,0,34423,21526
DE00,80 years and over,18982,24768,0,34991,21211
DE00,Average,20930,26888,24821,27246,25384
DE04,Under 15 years,0,0,23424,18772,23401
DE04,15 to 19 years,0,0,24701,0,24610
DE04,20 to 24 years,12161,18474,28606,0,23715
DE04,25 to 29 years,17529,21901,33409,0,23240
DE04,30 to 34 years,27057,25403,30474,0,25791
DE04,35 to 39 years,26635,25833,25239,0,26102
DE04,40 to 44 years,27260,26813,29809,0,26920
DE04,45 to 49 years,24123,30031,0,0,29229
DE04,50 to 54 years,25318,31652,0,0,30605
DE04,55 to 59 years,23447,31575,0,0,30161
DE04,60 to 64 years,22004,28001,0,0,26665
DE04,65 to 69 years,20559,24999,0,0,23814
DE04,70 to 74 years,19778,23412,0,0,22284
DE04,75 to 79 years,19464,22985,0,0,21445
DE04,80 years and over,19266,24172,0,32274,21187
DE04,Average,21239,26759,24705,28440,25365
DE07,Under 15 years,0,0,23128,18108,23090
DE07,15 to 19 years,0,0,24200,0,23945
DE07,20 to 24 years,11745,18339,29192,0,24087
DE07,25 to 29 years,18787,22686,31089,0,23208
DE07,30 to 34 years,24740,24949,31375,0,25252
DE07,35 to 39 years,26721,25803,30550,0,25957
DE07,40 to 44 years,27677,27082,28703,0,27354
DE07,45 to 49 years,24800,29515,0,0,28587
DE07,50 to 54 years,24747,31647,0,0,30469
DE07,55 to 59 years,20672,30615,0,0,29641
DE07,60 to 64 years,22639,27892,0,0,25870
DE07,65 to 69 years,19591,24076,0,0,22953
DE07,70 to 74 years,19397,22628,0,0,21275
DE07,75 to 79 years,18185,20300,0,0,19758
DE07,80 years and over,19353,24279,0,30546,21374
DE07,Average,20709,26479,24480,29416,24890
DE84,Under 15 years,0,0,18998,20344,18998
DE84,15 to 19 years,0,0,22154,20887,22055
DE84,20 to 24 years,13703,18066,26622,17839,23102
DE84,25 to 29 years,19531,20897,27290,0,21464
DE84,30 to 34 years,24782,21658,28322,0,22370
DE84,35 to 39 years,25934,21883,0,0,22074
DE84,40 to 44 years,27067,24620,0,0,24830
DE84,45 to 49 years,24276,24489,0,0,24379
DE84,50 to 54 years,22575,25077,0,0,24885
DE84,55 to 59 years,16952,24856,0,0,24006
DE84,60 to 64 years,15632,22253,0,0,21028
DE84,65 to 69 years,15529,19862,0,0,18285
DE84,70 to 74 years,15042,18238,0,0,17166
DE84,75 to 79 years,15826,17333,0,22484,17009
DE84,80 years and over,12895,18622,0,26053,16586
DE84,Average,17223,22340,21599,22405,21480
DE89,Under 15 years,0,0,21765,21005,21721
DE89,15 to 19 years,0,0,24138,0,24006
DE89,20 to 24 years,13781,23434,29810,23818,26331
DE89,25 to 29 years,21869,24527,31663,30356,25650
DE89,30 to 34 years,26515,23837,29713,0,24812
DE89,35 to 39 years,27128,24311,0,0,24645
DE89,40 to 44 years,27316,27409,0,0,27409
DE89,45 to 49 years,27429,30242,0,0,29803
DE89,50 to 54 years,24318,29797,0,0,29441
DE89,55 to 59 years,21504,28527,0,0,26838
DE89,60 to 64 years,18517,24838,0,0,23649
DE89,65 to 69 years,19614,22755,0,0,21420
DE89,70 to 74 years,17501,21426,0,0,20001
DE89,75 to 79 years,16968,20325,0,0,18893
DE89,80 years and over,17070,22555,0,25959,19161
DE89,Average,20274,25563,24062,24953,24139
DE94,Under 15 years,0,0,20722,23466,20746
DE94,15 to 19 years,0,0,24517,27365,24437
DE94,20 to 24 years,13979,20535,28073,22059,23865
DE94,25 to 29 years,20219,24210,31413,26707,24667
DE94,30 to 34 years,24239,23073,29493,0,24153
DE94,35 to 39 years,28707,23880,28777,0,24507
DE94,40 to 44 years,22987,26424,0,0,26232
DE94,45 to 49 years,28010,29628,0,0,29327
DE94,50 to 54 years,26285,29253,0,0,28940
DE94,55 to 59 years,22292,28036,0,0,27150
DE94,60 to 64 years,16285,22867,0,0,21923
DE94,65 to 69 years,18403,23618,0,0,22362
DE94,70 to 74 years,18177,22800,0,0,21283
DE94,75 to 79 years,18053,22620,0,0,20251
DE94,80 years and over,16710,19745,0,31554,18735
DE94,Average,19064,25266,22819,25654,23572
